IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP62;IP_PROP63;IP_PROP64;IP_PROP65;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP66;IP_PROP165;IP_PROP166;IP_PROP167;IP_PROP168;IP_PROP170;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP67;IP_PROP68;IP_PROP69;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP77;IP_PROP78;IP_PROP79;IP_PROP80;IP_PROP81;IP_PROP82;IP_PROP83;IP_PROP84;IP_PROP85;IP_PROP86;IP_PROP87;IP_PROP88;IP_PROP89;IP_PROP90;IP_PROP91;IP_PROP92;IP_PROP93;IP_PROP94;IP_PROP95;IP_PROP96;IP_PROP97;IP_PROP98;IP_PROP99;IP_PROP100;IP_PROP101;IP_PROP102;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP109;IP_PROP110;IP_PROP111;IP_PROP112;IP_PROP113;IP_PROP114;IP_PROP115;IP_PROP116;IP_PROP117;IP_PROP118;IP_PROP119;IP_PROP120;IP_PROP121;IP_PROP122;IP_PROP123;IP_PROP124;IP_PROP125;IP_PROP126;IP_PROP127;IP_PROP128;IP_PROP129;IP_PROP130;IP_PROP131;IP_PROP132;IP_PROP133;IP_PROP134;IP_PROP135;IP_PROP136;IP_PROP137;IP_PROP138;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1;CV_PRICE_2;CV_CURRENCY_2
b0388be5-97d8-11e3-a616-000c29ad8fa6;A1878SP-3WG;A1878SP-3WG СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009777589;A1878SP-3WG;;Товар;0;18;/upload/iblock/d2a/d2ab5c56a4efb010f5f4587fc7e0fd6b.jpeg;;;49;;;;;;;;;;40;Каталог товаров;AB;32;34;32;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;;;10;3;3;нет;Металл крашеный;металл;;1;40W;Светильник подвесной Arte Lamp Gabbia A1878SP-3WG;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;04/013/0286;Standard;Нет;Pendants;;GABBIA;03.10.2019;03.10.14 00:00;;Флористика;464;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;БЕЛО-ЗОЛОТОЙ;;#000000;34;32;1,9;;;70;;;крючок;;;;;;;;;;;;;;;;;Подвесы;;;0;3100;0;0;0;;;;;7512.00;RUB
b0388be5-97d8-11e3-a616-000c29ad8fa6;A1878SP-3WG;A1878SP-3WG СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009777589;A1878SP-3WG;;Товар;0;18;/upload/iblock/d2a/d2ab5c56a4efb010f5f4587fc7e0fd6b.jpeg;;;49;;;;;;;;;;40;Каталог товаров;AB;32;34;32;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;;;10;3;3;нет;Металл крашеный;металл;;1;40W;Светильник подвесной Arte Lamp Gabbia A1878SP-3WG;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;04/013/0286;Standard;Нет;Pendants;;GABBIA;03.10.2019;03.10.14 00:00;;Флористика;464;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;БЕЛО-ЗОЛОТОЙ;;#000000;34;32;1,9;;;70;;;крючок;;;;;;;;;;;;;;;;;Подвесы;;;0;3100;0;0;0;;;;;7512.00;RUB
b0388be5-97d8-11e3-a616-000c29ad8fa6;A1878SP-3WG;A1878SP-3WG СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009777589;A1878SP-3WG;;03.янв;0;18;/upload/iblock/d2a/d2ab5c56a4efb010f5f4587fc7e0fd6b.jpeg;;;49;;;;;;;;;;40;Каталог товаров;AB;32;34;32;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;;;10;3;3;нет;Металл крашеный;металл;;1;40W;Светильник подвесной Arte Lamp Gabbia A1878SP-3WG;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;04/013/0286;Standard;Нет;Pendants;;GABBIA;03.10.2019;03.10.14 00:00;;Флористика;464;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;БЕЛО-ЗОЛОТОЙ;;#000000;34;32;1,9;;;70;;;крючок;;;;;;;;;;;;;;;;;Подвесы;;;0;3100;0;0;0;;;;;7512.00;RUB
221aa563-5b2e-11e2-a0fb-000c29ad8fa6;A2030SP-1WA;A2030SP-1WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772287;A2030SP-1WA;;Товар;0;18;/upload/iblock/636/6362e78a4ccbe97b5b1f628dc5ccab91.jpeg;;;32;;;;;;;;;;30;Каталог товаров;AA;35;37;35;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Бау,Комисс;СД1;10;1;1;incl;Металл крашенный;металл;Металл крашенный;1;75W;Светильник подвесной Arte Lamp Maestro A2030SP-1WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E27;02/129/0304;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030S - плафон;Классика;226;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;37;35;1,08;;;120;G;;скоба;;;1 x 750;;;;;;;;;;;;;;Подвесы;;;156;1850;0;0;0;;;;;5526.00;RUB
221aa563-5b2e-11e2-a0fb-000c29ad8fa6;A2030SP-1WA;A2030SP-1WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772287;A2030SP-1WA;;Товар;0;18;/upload/iblock/636/6362e78a4ccbe97b5b1f628dc5ccab91.jpeg;;;32;;;;;;;;;;30;Каталог товаров;AA;35;37;35;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Бау,Комисс;СД1;10;1;1;incl;Металл крашенный;металл;Металл крашенный;1;75W;Светильник подвесной Arte Lamp Maestro A2030SP-1WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E27;02/129/0304;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030S - плафон;Классика;226;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;37;35;1,08;;;120;G;;скоба;;;1 x 750;;;;;;;;;;;;;;Подвесы;;;156;1850;0;0;0;;;;;5526.00;RUB
221aa563-5b2e-11e2-a0fb-000c29ad8fa6;A2030SP-1WA;A2030SP-1WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772287;A2030SP-1WA;;01.85;0;18;/upload/iblock/636/6362e78a4ccbe97b5b1f628dc5ccab91.jpeg;;;32;;;;;;;;;;30;Каталог товаров;AA;35;37;35;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Бау,Комисс;СД1;10;1;1;incl;Металл крашенный;металл;Металл крашенный;1;75W;Светильник подвесной Arte Lamp Maestro A2030SP-1WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E27;02/129/0304;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030S - плафон;Классика;226;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;37;35;1,08;;;120;G;;скоба;;;1 x 750;;;;;;;;;;;;;;Подвесы;;;156;1850;0;0;0;;;;;5526.00;RUB
221aa565-5b2e-11e2-a0fb-000c29ad8fa6;A2031SP-1WA;A2031SP-1WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772294;A2031SP-1WA;;Товар;0;18;/upload/iblock/c22/c222fc928c9b61f056afcc2d5d9da1c1.jpeg;;;30;;;;;;;;;;32;Каталог товаров;AA;10;12;10;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Комисс;СД1;10;1;1;нет;Металл крашенный;металл;Металл крашенный;8;40W;Светильник подвесной Arte Lamp Maestro A2031SP-1WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;02/129/0305;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030M - плафон;Классика;227;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;12;10;0,54;;;120;;;скоба;;;;;;;;;;;;;;;;;Подвесы;;;73;730;0;0;0;;;;;2706.00;RUB
221aa565-5b2e-11e2-a0fb-000c29ad8fa6;A2031SP-1WA;A2031SP-1WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772294;A2031SP-1WA;;Товар;0;18;/upload/iblock/c22/c222fc928c9b61f056afcc2d5d9da1c1.jpeg;;;30;;;;;;;;;;32;Каталог товаров;AA;10;12;10;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Комисс;СД1;10;1;1;нет;Металл крашенный;металл;Металл крашенный;8;40W;Светильник подвесной Arte Lamp Maestro A2031SP-1WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;02/129/0305;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030M - плафон;Классика;227;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;12;10;0,54;;;120;;;скоба;;;;;;;;;;;;;;;;;Подвесы;;;73;730;0;0;0;;;;;2706.00;RUB
221aa565-5b2e-11e2-a0fb-000c29ad8fa6;A2031SP-1WA;A2031SP-1WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772294;A2031SP-1WA;;0.73;0;18;/upload/iblock/c22/c222fc928c9b61f056afcc2d5d9da1c1.jpeg;;;30;;;;;;;;;;32;Каталог товаров;AA;10;12;10;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Комисс;СД1;10;1;1;нет;Металл крашенный;металл;Металл крашенный;8;40W;Светильник подвесной Arte Lamp Maestro A2031SP-1WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;02/129/0305;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030M - плафон;Классика;227;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;12;10;0,54;;;120;;;скоба;;;;;;;;;;;;;;;;;Подвесы;;;73;730;0;0;0;;;;;2706.00;RUB
221aa567-5b2e-11e2-a0fb-000c29ad8fa6;A2031SP-3WA;A2031SP-3WA СВЕТИЛЬНИК ПОДВЕСНОЙ;;IP20;ARTE LAMP;Подвесы;Да;4620009772300;A2031SP-3WA;;Товар;0;18;/upload/iblock/656/656d9780748b8f9e1cdad5d89d058be6.jpeg;;;29;;;;;;;;;;32;Каталог товаров;AA;10;13;57;Арте Ламп, 110, 1/Ф Парк Фук индастриал билдинг, 615-617, Тай Нань Вест стрит, Гужень, Китай;Комисс;СД1;10;3;3;нет;Металл крашенный;металл;Металл крашенный;1;40W;Светильник подвесной Arte Lamp Maestro A2031SP-3WA;230V;Нет;TC RU C-IT.MO07.B.00066;220418;ООО «Центр аналитических технологий «Прогресс»;E14;02/129/0306;Standard;Нет;Decorative Classic;;MAESTRO;03.10.2019;03.10.14 00:00;GA2030M - плафон;Классика;227;10;накал;incandescent;Светильник подвесной;Pendant Lamp;СВІТИЛЬНИК ПIДВIСНИЙ;Классика;Да;Античный белый;Белый;#000000;59;10;1,65;;;120;;;скоба;;;;;;;;;;;;;;;;;Подвесы;;;7;2160;0;0;0;;;;;5487.00;RUB
